subtype,n,human_flip_rate,surface_edit_rate,mean_edit_dist,twitter_flip_rate,twitter_acc,twitter_prec,twitter_rec,twitter_fp,twitter_fn,twitter_error_rate,twitter_kappa,twitter_mcc,kaggle_flip_rate,kaggle_acc,kaggle_prec,kaggle_rec,kaggle_fp,kaggle_fn,kaggle_error_rate,kaggle_kappa,kaggle_mcc,news_flip_rate,news_acc,news_prec,news_rec,news_fp,news_fn,news_error_rate,news_kappa,news_mcc
sarcasm,69,0.5942028985507246,0.08695652173913043,0.662389566481638,0.043478260869565216,0.4492753623188406,1.0,0.07317073170731707,0,38,0.5507246376811594,0.06021505376344094,0.17618776519129872,0.07246376811594203,0.391304347826087,0.4,0.04878048780487805,3,39,0.6086956521739131,-0.04848046309696108,-0.11054239494483269,0.3333333333333333,0.5652173913043478,0.7391304347826086,0.4146341463414634,6,24,0.43478260869565216,0.18181818181818177,0.20869596778242056
irony,30,0.5,0.13333333333333333,0.6364746827246829,0.03333333333333333,0.5333333333333333,1.0,0.06666666666666667,0,14,0.4666666666666667,0.06666666666666665,0.18569533817705186,0.06666666666666667,0.43333333333333335,0.0,0.0,2,15,0.5666666666666667,-0.1333333333333333,-0.2672612419124244,0.16666666666666666,0.6,0.8,0.26666666666666666,1,11,0.4,0.19999999999999996,0.2683281572999747
rhetorical_question,14,0.5,0.0,0.4764278438648186,0.14285714285714285,0.5,0.5,0.14285714285714285,1,6,0.5,0.0,0.0,0.07142857142857142,0.5714285714285714,1.0,0.14285714285714285,0,6,0.42857142857142855,0.1428571428571429,0.2773500981126146,0.14285714285714285,0.5,0.5,0.14285714285714285,1,6,0.5,0.0,0.0
understatement,11,0.5454545454545454,0.09090909090909091,0.5433554324463415,0.18181818181818182,0.45454545454545453,0.5,0.16666666666666666,1,5,0.5454545454545454,-0.03125,-0.04303314829119352,0.09090909090909091,0.36363636363636365,0.0,0.0,1,6,0.6363636363636364,-0.18461538461538485,-0.3464101615137754,0.2727272727272727,0.5454545454545454,0.6666666666666666,0.3333333333333333,1,4,0.45454545454545453,0.12698412698412687,0.14907119849998599
satire,9,0.5555555555555556,0.1111111111111111,0.7694071360738026,0.0,0.4444444444444444,0.0,0.0,0,5,0.5555555555555556,0.0,0.0,0.4444444444444444,0.4444444444444444,0.5,0.4,2,3,0.5555555555555556,-0.09756097560975618,-0.1,0.1111111111111111,0.5555555555555556,1.0,0.2,0,4,0.4444444444444444,0.18181818181818188,0.31622776601683794
overstatement,7,0.2857142857142857,0.2857142857142857,0.5080653473510617,0.0,0.7142857142857143,0.0,0.0,0,2,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0,2,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0,2,0.2857142857142857,0.0,0.0
