model,n_samples,inter_annotator_kappa,classifier_flip_rate,human_flip_rate_strict,human_flip_rate_lenient,classifier_human_kappa,classifier_accuracy,classifier_precision,classifier_recall,classifier_specificity,classifier_f1,classifier_mcc,classifier_balanced_acc,meaning_change_rate,strict_success_rate,mean_similarity,mean_edit_dist,mean_paraphrase,surface_edit_rate,true_positive,true_negative,false_positive,false_negative
t5_base_joint,140,0.8385744234800838,0.05714285714285714,0.5428571428571428,0.6214285714285714,0.04400606980273147,0.4857142857142857,0.75,0.07894736842105263,0.96875,0.14285714285714285,0.10236682716888904,0.5238486842105263,0.16428571428571428,0.4357142857142857,0.9149517929979734,0.6280510128293741,0.22553080001143852,0.1,6,62,2,70
t5_base_control,140,0.8834304746044963,0.05714285714285714,0.5428571428571428,0.6,0.017450682852807264,0.4714285714285714,0.625,0.06578947368421052,0.953125,0.11904761904761904,0.04059374180835255,0.5094572368421053,0.25,0.39285714285714285,0.8807821766340307,0.6802700097521526,0.17468916447675847,0.08571428571428572,5,61,3,71
bart_base_rl,140,0.884297520661157,0.04285714285714286,0.5285714285714286,0.5857142857142857,-0.004654771140419012,0.4714285714285714,0.5,0.04054054054054054,0.9545454545454546,0.075,-0.012111429058987752,0.4975429975429976,0.40714285714285714,0.34285714285714286,0.8638973023210254,0.6231122074519908,0.22839205273158777,0.1,3,63,3,71
