subtype,n,clf_flip_rate,human_flip_rate,TP,TN,FP,FN,accuracy,precision,recall,kappa,mcc,fp_rate,fn_rate,error_rate,surface_edit_rate,mean_edit_dist
sarcasm,69,0.07246376811594203,0.5652173913043478,3,28,2,36,0.4492753623188406,0.6,0.07692307692307693,0.009070294784580324,0.019611613513818404,0.028985507246376812,0.5217391304347826,0.5507246376811594,0.13043478260869565,0.6273168910552811
irony,30,0.0,0.5333333333333333,0,14,0,16,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.03333333333333333,0.6592501017501018
rhetorical_question,14,0.0,0.6428571428571429,0,5,0,9,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0,0.6816549347011531
understatement,11,0.09090909090909091,0.7272727272727273,0,2,1,8,0.18181818181818182,0.0,0.0,-0.19277108433734957,-0.5163977794943222,0.09090909090909091,0.7272727272727273,0.8181818181818182,0.09090909090909091,0.5836430236430236
satire,9,0.0,0.1111111111111111,0,8,0,1,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.58326487515084
overstatement,7,0.0,0.14285714285714285,0,6,0,1,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42295918367346935
