model,classifier,classifier_type,training_data,accuracy,precision,recall,specificity,f1,mcc,kappa,balanced_acc,fpr,fnr,tp,tn,fp,fn,clf_flip_rate,human_flip_rate,inter_annotator_kappa,meaning_change_rate,strict_success_rate,surface_edit_rate
t5_base_joint,RoBERTa-Twitter,RoBERTa,Twitter,0.4857142857142857,0.75,0.07894736842105263,0.96875,0.14285714285714285,0.10236682716888904,0.04400606980273147,0.5238486842105263,0.03125,0.9210526315789473,6,62,2,70,0.05714285714285714,0.5428571428571428,0.8385744234800838,0.16428571428571428,0.4357142857142857,0.1
t5_base_joint,Bert-Kaggle,Bert,Kaggle,0.4357142857142857,0.38461538461538464,0.06578947368421052,0.875,0.11235955056179775,-0.10163005672839219,-0.054940862266310786,0.47039473684210525,0.125,0.9342105263157895,5,56,8,71,0.09285714285714286,0.5428571428571428,0.8385744234800838,0.16428571428571428,0.4357142857142857,0.1
t5_base_joint,RoBERTa-News,RoBERTa,News,0.5714285714285714,0.7352941176470589,0.32894736842105265,0.859375,0.4545454545454546,0.21877933573625136,0.17904612978889767,0.5941611842105263,0.140625,0.6710526315789473,25,55,9,51,0.24285714285714285,0.5428571428571428,0.8385744234800838,0.16428571428571428,0.4357142857142857,0.1
t5_base_control,RoBERTa-Twitter,RoBERTa,Twitter,0.4714285714285714,0.625,0.06578947368421052,0.953125,0.11904761904761904,0.04059374180835255,0.017450682852807264,0.5094572368421053,0.046875,0.9342105263157895,5,61,3,71,0.05714285714285714,0.5428571428571428,0.8834304746044963,0.25,0.39285714285714285,0.08571428571428572
t5_base_control,Bert-Kaggle,Bert,Kaggle,0.40714285714285714,0.29411764705882354,0.06578947368421052,0.8125,0.1075268817204301,-0.1856298899414336,-0.11345343043311606,0.43914473684210525,0.1875,0.9342105263157895,5,52,12,71,0.12142857142857143,0.5428571428571428,0.8834304746044963,0.25,0.39285714285714285,0.08571428571428572
t5_base_control,RoBERTa-News,RoBERTa,News,0.5071428571428571,0.6,0.27631578947368424,0.78125,0.37837837837837845,0.06622661785325219,0.0547945205479452,0.5287828947368421,0.21875,0.7236842105263158,21,50,14,55,0.25,0.5428571428571428,0.8834304746044963,0.25,0.39285714285714285,0.08571428571428572
bart_base_rl,RoBERTa-Twitter,RoBERTa,Twitter,0.4714285714285714,0.5,0.04054054054054054,0.9545454545454546,0.075,-0.012111429058987752,-0.004654771140419012,0.4975429975429976,0.045454545454545456,0.9594594594594594,3,63,3,71,0.04285714285714286,0.5285714285714286,0.884297520661157,0.40714285714285714,0.34285714285714286,0.1
bart_base_rl,Bert-Kaggle,Bert,Kaggle,0.45,0.42857142857142855,0.12162162162162163,0.8181818181818182,0.18947368421052632,-0.0841543121795838,-0.05769230769230771,0.4699017199017199,0.18181818181818182,0.8783783783783784,9,54,12,65,0.15,0.5285714285714286,0.884297520661157,0.40714285714285714,0.34285714285714286,0.1
bart_base_rl,RoBERTa-News,RoBERTa,News,0.5285714285714286,0.5909090909090909,0.35135135135135137,0.7272727272727273,0.4406779661016949,0.08454373726823221,0.0767386091127098,0.5393120393120393,0.2727272727272727,0.6486486486486487,26,48,18,48,0.3142857142857143,0.5285714285714286,0.884297520661157,0.40714285714285714,0.34285714285714286,0.1
