subtype,n,human_flip_rate,surface_edit_rate,mean_edit_dist,twitter_flip_rate,twitter_acc,twitter_prec,twitter_rec,twitter_fp,twitter_fn,twitter_error_rate,twitter_kappa,twitter_mcc,kaggle_flip_rate,kaggle_acc,kaggle_prec,kaggle_rec,kaggle_fp,kaggle_fn,kaggle_error_rate,kaggle_kappa,kaggle_mcc,news_flip_rate,news_acc,news_prec,news_rec,news_fp,news_fn,news_error_rate,news_kappa,news_mcc
sarcasm,69,0.5942028985507246,0.08695652173913043,0.7035511246828382,0.08695652173913043,0.43478260869565216,0.6666666666666666,0.0975609756097561,2,37,0.5652173913043478,0.021810250817884236,0.04554119379023845,0.08695652173913043,0.4057971014492754,0.5,0.07317073170731707,3,38,0.5942028985507246,-0.028353326063249806,-0.059203551927309986,0.3333333333333333,0.4782608695652174,0.6086956521739131,0.34146341463414637,9,27,0.5217391304347826,0.018181818181818077,0.020869596778242055
irony,30,0.5333333333333333,0.13333333333333333,0.6504095904095905,0.0,0.4666666666666667,0.0,0.0,0,16,0.5333333333333333,0.0,0.0,0.1,0.36666666666666664,0.0,0.0,3,16,0.6333333333333333,-0.20253164556962022,-0.3563483225498992,0.16666666666666666,0.5,0.6,0.1875,2,13,0.5,0.042553191489361764,0.05976143046671968
rhetorical_question,14,0.5714285714285714,0.0,0.67549838117065,0.0,0.42857142857142855,0.0,0.0,0,8,0.5714285714285714,0.0,0.0,0.07142857142857142,0.35714285714285715,0.0,0.0,1,8,0.6428571428571429,-0.14545454545454528,-0.32025630761017426,0.14285714285714285,0.5714285714285714,1.0,0.25,0,6,0.42857142857142855,0.2222222222222221,0.3535533905932738
understatement,11,0.6363636363636364,0.0,0.5969130869130869,0.18181818181818182,0.36363636363636365,0.5,0.14285714285714285,1,6,0.6363636363636364,-0.08450704225352101,-0.1336306209562122,0.09090909090909091,0.2727272727272727,0.0,0.0,1,7,0.7272727272727273,-0.18918918918918926,-0.4183300132670378,0.36363636363636365,0.36363636363636365,0.5,0.2857142857142857,2,5,0.6363636363636364,-0.18461538461538485,-0.21428571428571427
satire,9,0.2222222222222222,0.1111111111111111,0.807695699362366,0.0,0.7777777777777778,0.0,0.0,0,2,0.2222222222222222,0.0,0.0,0.6666666666666666,0.5555555555555556,0.3333333333333333,1.0,4,0,0.4444444444444444,0.2500000000000001,0.3779644730092272,0.0,0.7777777777777778,0.0,0.0,0,2,0.2222222222222222,0.0,0.0
overstatement,7,0.2857142857142857,0.14285714285714285,0.5554576376004947,0.0,0.7142857142857143,0.0,0.0,0,2,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0,2,0.2857142857142857,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,1,2,0.42857142857142855,-0.23529411764705888,-0.2581988897471611
